ID,Duration (s),Entry Time,Exit Time
1,3.6,0.0,3.6
2,4.266666666666667,0.0,4.266666666666667
3,3.1666666666666665,0.0,3.1666666666666665
4,0.4,0.0,0.4
5,1.0666666666666667,0.0,1.0666666666666667
6,4.833333333333333,0.0,4.833333333333333
7,0.5,0.0,0.5
8,1.4666666666666666,0.0,1.4666666666666666
9,1.1666666666666667,0.06666666666666667,1.2333333333333334
10,1.3666666666666667,0.06666666666666667,1.4333333333333333
11,3.5,0.13333333333333333,3.6333333333333333
12,1.5,0.2,1.7
13,0.7333333333333334,0.23333333333333334,0.9666666666666667
14,1.5,0.4666666666666667,1.9666666666666666
15,0.6333333333333334,0.5333333333333333,1.1666666666666667
16,1.666666666666667,0.6666666666666666,2.3333333333333335
17,0.8000000000000002,0.7333333333333333,1.5333333333333334
18,3.4666666666666663,0.8666666666666667,4.333333333333333
19,1.7333333333333334,1.1333333333333333,2.8666666666666667
20,0.16666666666666652,1.1666666666666667,1.3333333333333333
21,0.43333333333333335,1.4666666666666666,1.9
22,1.6333333333333333,1.6333333333333333,3.2666666666666666
23,3.8666666666666663,1.7,5.566666666666666
24,4.166666666666667,1.7666666666666666,5.933333333333334
26,0.06666666666666687,2.4,2.466666666666667
27,3.7000000000000006,2.433333333333333,6.133333333333334
28,2.1666666666666665,2.6333333333333333,4.8
29,8.866666666666665,2.8666666666666667,11.733333333333333
30,0.2666666666666666,3.2,3.466666666666667
31,1.5666666666666669,3.433333333333333,5.0
32,4.6,3.566666666666667,8.166666666666666
33,6.266666666666667,3.7666666666666666,10.033333333333333
34,4.333333333333334,4.033333333333333,8.366666666666667
35,1.7333333333333334,4.1,5.833333333333333
36,1.166666666666666,4.133333333333334,5.3
37,1.0666666666666664,4.2,5.266666666666667
38,0.2333333333333334,4.233333333333333,4.466666666666667
39,7.1,4.966666666666667,12.066666666666666
40,1.0333333333333332,5.033333333333333,6.066666666666666
41,0.5,5.133333333333334,5.633333333333334
42,3.6000000000000005,5.366666666666666,8.966666666666667
43,0.2666666666666666,5.4,5.666666666666667
44,3.3666666666666663,5.766666666666667,9.133333333333333
45,3.1333333333333337,5.8,8.933333333333334
46,1.8000000000000007,6.566666666666666,8.366666666666667
47,0.8666666666666671,6.766666666666667,7.633333333333334
48,1.4333333333333327,7.166666666666667,8.6
49,0.6333333333333337,7.7,8.333333333333334
50,0.8000000000000007,8.166666666666666,8.966666666666667
51,2.1333333333333346,8.233333333333333,10.366666666666667
52,1.0999999999999996,8.566666666666666,9.666666666666666
53,1.5333333333333332,8.633333333333333,10.166666666666666
54,2.833333333333332,8.766666666666667,11.6
57,2.5,8.866666666666667,11.366666666666667
58,1.3666666666666671,9.1,10.466666666666667
59,0.7333333333333343,9.166666666666666,9.9
60,0.13333333333333286,9.3,9.433333333333334
61,0.6666666666666661,9.3,9.966666666666667
62,0.3999999999999986,9.333333333333334,9.733333333333333
63,0.6999999999999993,9.4,10.1
64,1.7333333333333325,9.4,11.133333333333333
65,2.9333333333333336,9.566666666666666,12.5
66,2.799999999999999,9.833333333333334,12.633333333333333
67,2.4000000000000004,9.9,12.3
68,1.0999999999999996,10.066666666666666,11.166666666666666
69,3.4333333333333336,10.066666666666666,13.5
70,1.2333333333333325,10.466666666666667,11.7
71,0.8666666666666671,10.5,11.366666666666667
72,0.2666666666666675,10.6,10.866666666666667
73,3.299999999999999,10.833333333333334,14.133333333333333
74,0.40000000000000036,10.933333333333334,11.333333333333334
75,3.4000000000000004,10.966666666666667,14.366666666666667
76,3.0,11.2,14.2
77,1.5333333333333332,11.433333333333334,12.966666666666667
78,4.533333333333335,11.566666666666666,16.1
79,2.9333333333333336,11.733333333333333,14.666666666666666
81,1.1333333333333329,11.9,13.033333333333333
82,0.40000000000000036,11.9,12.3
83,4.366666666666665,11.966666666666667,16.333333333333332
84,3.5,12.1,15.6
85,0.9666666666666668,12.3,13.266666666666667
87,4.766666666666666,12.5,17.266666666666666
88,3.333333333333334,12.533333333333333,15.866666666666667
89,1.3000000000000007,12.566666666666666,13.866666666666667
90,0.5333333333333332,13.0,13.533333333333333
91,0.6666666666666679,13.1,13.766666666666667
92,5.0,13.366666666666667,18.366666666666667
94,2.366666666666667,13.566666666666666,15.933333333333334
95,0.9333333333333336,13.733333333333333,14.666666666666666
96,0.6999999999999993,14.4,15.1
97,5.466666666666667,14.533333333333333,20.0
98,5.266666666666666,14.866666666666667,20.133333333333333
99,1.5,15.066666666666666,16.566666666666666
100,0.23333333333333428,15.166666666666666,15.4
101,3.8000000000000007,15.566666666666666,19.366666666666667
102,4.4,15.733333333333333,20.133333333333333
103,0.8333333333333321,16.366666666666667,17.2
104,0.466666666666665,16.8,17.266666666666666
105,3.2666666666666657,16.866666666666667,20.133333333333333
106,2.866666666666667,17.266666666666666,20.133333333333333
109,0.33333333333333215,17.533333333333335,17.866666666666667
110,2.599999999999998,17.533333333333335,20.133333333333333
111,2.5666666666666664,17.566666666666666,20.133333333333333
112,2.200000000000003,17.833333333333332,20.033333333333335
113,1.0999999999999979,18.533333333333335,19.633333333333333
114,0.1666666666666643,18.6,18.766666666666666
115,1.5333333333333314,18.6,20.133333333333333
116,1.0666666666666664,19.066666666666666,20.133333333333333
